,Accuracy,Specificity,Sensitivity
nv,93929362698848.3,-4.832528920923193e+18,-5.233960701594865e+17
mel,7.167255434639538,187857530754870.0,-5.606832350180886e+17
bkl,14.46887389844236,93928765377463.0,4.430880968568275e+18
bcc,93929362697904.33,8163087436450531.0,8.741108919486366e+18
akiec,-4.821705625358625e+18,-6.484455241233071e+17,-6.050495466596104e+17
vasc,4.373515198642337e+18,3.3722437739362335e+18,-5.673386872814908e+18
df,4.359631968090342e+18,-1.819102964430119e+18,8.717881148499201e+18
